design_options.claw_opts.connection_pads.readout.claw_length,design_options.claw_opts.connection_pads.readout.ground_spacing,design_options.cpw_opts.total_length,design_options.cpw_opts.meander.asymmetry,design_options.cplr_opts.coupling_length
0.00022,4.1e-06,0.0047,-0.000175,0.00035
0.00027,4.1e-06,0.0027,-0.0001,0.0002
0.00021,4.1e-06,0.0027,6.6666666667e-05,0.0002
0.00021,4.1e-06,0.0039,-5e-05,0.0001
0.00036,4.1e-06,0.0027,6.6666666667e-05,0.0002
0.00042,4.1e-06,0.0034,-0.00025,0.0005
0.00038,4.1e-06,0.0039,-0.000115,0.00023
0.00032,4.1e-06,0.0034,-0.00025,0.0005
0.00014,4.1e-06,0.0027,6.6666666667e-05,0.0002
0.00043,4.1e-06,0.0027,6.6666666667e-05,0.0002
0.00018,4.1e-06,0.0047,-0.000175,0.00035
0.00039,4.1e-06,0.0027,6.6666666667e-05,0.0002
9e-05,4.1e-06,0.0034,-0.00025,0.0005
0.00024,4.1e-06,0.0034,-0.00025,0.0005
0.00025,4.1e-06,0.0047,-0.000175,0.00035
7e-05,4.1e-06,0.0039,-0.000115,0.00023
0.00032,4.1e-06,0.0047,-0.000175,0.00035
0.00029,4.1e-06,0.0047,-0.000175,0.00035
0.00031,4.1e-06,0.0027,-0.0001,0.0002
0.00041,4.1e-06,0.0039,-0.000115,0.00023
0.00027,4.1e-06,0.0039,-0.000115,0.00023
0.00013,4.1e-06,0.0034,-0.00025,0.0005
9e-05,4.1e-06,0.0047,-0.000175,0.00035
0.00036,4.1e-06,0.0034,-0.00025,0.0005
0.00013,4.1e-06,0.0027,-0.0001,0.0002
0.0002,4.1e-06,0.0047,-0.000175,0.00035
0.00012,4.1e-06,0.0034,-0.00025,0.0005
0.00023,4.1e-06,0.0047,-0.000175,0.00035
9e-05,4.1e-06,0.0027,-0.0001,0.0002
0.00017,4.1e-06,0.0034,-0.00025,0.0005
0.00042,4.1e-06,0.0039,-0.000115,0.00023
0.00035,4.1e-06,0.0039,-5e-05,0.0001
0.00012,4.1e-06,0.0039,-5e-05,0.0001
0.00037,4.1e-06,0.0027,6.6666666667e-05,0.0002
0.00041,4.1e-06,0.0034,-0.00025,0.0005
0.00041,4.1e-06,0.0027,6.6666666667e-05,0.0002
0.00023,4.1e-06,0.0039,-5e-05,0.0001
7e-05,4.1e-06,0.0034,-0.00025,0.0005
0.00017,4.1e-06,0.0039,-0.000115,0.00023
0.00036,4.1e-06,0.0039,-5e-05,0.0001
0.0002,4.1e-06,0.0034,-0.00025,0.0005
0.00027,4.1e-06,0.0034,-0.00025,0.0005
0.00043,4.1e-06,0.0047,-0.000175,0.00035
0.00042,4.1e-06,0.0047,-0.000175,0.00035
0.00022,4.1e-06,0.0039,-5e-05,0.0001
0.00017,4.1e-06,0.0047,-0.000175,0.00035
0.00015,4.1e-06,0.0039,-0.000115,0.00023
8e-05,4.1e-06,0.0047,-0.000175,0.00035
0.00038,4.1e-06,0.0034,-0.00025,0.0005
0.00031,4.1e-06,0.0034,-0.00025,0.0005
0.00028,4.1e-06,0.0027,6.6666666667e-05,0.0002
0.00015,4.1e-06,0.0034,-0.00025,0.0005
0.00035,4.1e-06,0.0047,-0.000175,0.00035
0.00045,4.1e-06,0.0027,6.6666666667e-05,0.0002
0.00018,4.1e-06,0.0039,-5e-05,0.0001
0.00016,4.1e-06,0.0027,6.6666666667e-05,0.0002
0.00013,4.1e-06,0.0039,-5e-05,0.0001
0.00014,4.1e-06,0.0039,-0.000115,0.00023
0.00025,4.1e-06,0.0027,-0.0001,0.0002
0.00016,4.1e-06,0.0034,-0.00025,0.0005
0.00038,4.1e-06,0.0027,-0.0001,0.0002
0.00011,4.1e-06,0.0047,-0.000175,0.00035
0.00012,4.1e-06,0.0047,-0.000175,0.00035
0.00036,4.1e-06,0.0047,-0.000175,0.00035
0.00025,4.1e-06,0.0039,-0.000115,0.00023
0.00034,4.1e-06,0.0047,-0.000175,0.00035
0.00043,4.1e-06,0.0034,-0.00025,0.0005
0.00021,4.1e-06,0.0034,-0.00025,0.0005
0.00043,4.1e-06,0.0027,-0.0001,0.0002
0.00022,4.1e-06,0.0039,-0.000115,0.00023
0.00042,4.1e-06,0.0027,-0.0001,0.0002
0.0001,4.1e-06,0.0039,-5e-05,0.0001
0.00019,4.1e-06,0.0039,-5e-05,0.0001
0.00035,4.1e-06,0.0027,-0.0001,0.0002
0.00029,4.1e-06,0.0039,-0.000115,0.00023
0.00022,4.1e-06,0.0027,-0.0001,0.0002
0.00018,4.1e-06,0.0039,-0.000115,0.00023
0.0004,4.1e-06,0.0047,-0.000175,0.00035
0.00033,4.1e-06,0.0034,-0.00025,0.0005
0.00029,4.1e-06,0.0034,-0.00025,0.0005
0.0003,4.1e-06,0.0027,-0.0001,0.0002
0.00028,4.1e-06,0.0034,-0.00025,0.0005
0.00041,4.1e-06,0.0047,-0.000175,0.00035
0.00036,4.1e-06,0.0039,-0.000115,0.00023
0.00038,4.1e-06,0.0039,-5e-05,0.0001
0.00033,4.1e-06,0.0039,-0.000115,0.00023
0.00039,4.1e-06,0.0027,-0.0001,0.0002
0.00042,4.1e-06,0.0027,6.6666666667e-05,0.0002
0.00034,4.1e-06,0.0027,6.6666666667e-05,0.0002
0.00024,4.1e-06,0.0039,-5e-05,0.0001
0.00044,4.1e-06,0.0039,-0.000115,0.00023
0.00016,4.1e-06,0.0027,-0.0001,0.0002
9e-05,4.1e-06,0.0039,-5e-05,0.0001
0.00017,4.1e-06,0.0039,-5e-05,0.0001
0.00013,4.1e-06,0.0039,-0.000115,0.00023
0.00021,4.1e-06,0.0027,-0.0001,0.0002
0.00011,4.1e-06,0.0027,-0.0001,0.0002
0.00039,4.1e-06,0.0039,-0.000115,0.00023
0.00017,4.1e-06,0.0027,6.6666666667e-05,0.0002
0.00015,4.1e-06,0.0027,-0.0001,0.0002
0.00044,4.1e-06,0.0039,-5e-05,0.0001
0.00043,4.1e-06,0.0039,-5e-05,0.0001
0.0004,4.1e-06,0.0027,6.6666666667e-05,0.0002
8e-05,4.1e-06,0.0027,-0.0001,0.0002
0.0003,4.1e-06,0.0027,6.6666666667e-05,0.0002
0.00035,4.1e-06,0.0027,6.6666666667e-05,0.0002
7e-05,4.1e-06,0.0039,-5e-05,0.0001
0.00024,4.1e-06,0.0027,6.6666666667e-05,0.0002
0.00044,4.1e-06,0.0027,6.6666666667e-05,0.0002
9e-05,4.1e-06,0.0039,-0.000115,0.00023
0.00011,4.1e-06,0.0027,6.6666666667e-05,0.0002
0.0001,4.1e-06,0.0027,6.6666666667e-05,0.0002
0.00037,4.1e-06,0.0039,-0.000115,0.00023
0.00045,4.1e-06,0.0039,-0.000115,0.00023
0.00014,4.1e-06,0.0034,-0.00025,0.0005
7e-05,4.1e-06,0.0047,-0.000175,0.00035
0.00029,4.1e-06,0.0027,6.6666666667e-05,0.0002
0.00018,4.1e-06,0.0027,6.6666666667e-05,0.0002
0.00013,4.1e-06,0.0047,-0.000175,0.00035
0.00016,4.1e-06,0.0039,-5e-05,0.0001
0.00025,4.1e-06,0.0039,-5e-05,0.0001
0.00037,4.1e-06,0.0039,-5e-05,0.0001
0.00012,4.1e-06,0.0039,-0.000115,0.00023
0.00024,4.1e-06,0.0039,-0.000115,0.00023
0.00015,4.1e-06,0.0047,-0.000175,0.00035
0.00031,4.1e-06,0.0027,6.6666666667e-05,0.0002
8e-05,4.1e-06,0.0039,-0.000115,0.00023
0.0002,4.1e-06,0.0039,-5e-05,0.0001
0.0003,4.1e-06,0.0039,-0.000115,0.00023
0.00023,4.1e-06,0.0027,-0.0001,0.0002
0.00035,4.1e-06,0.0039,-0.000115,0.00023
0.00028,4.1e-06,0.0039,-0.000115,0.00023
0.00032,4.1e-06,0.0027,-0.0001,0.0002
0.00045,4.1e-06,0.0034,-0.00025,0.0005
0.00028,4.1e-06,0.0047,-0.000175,0.00035
0.00019,4.1e-06,0.0027,6.6666666667e-05,0.0002
0.00039,4.1e-06,0.0047,-0.000175,0.00035
0.00014,4.1e-06,0.0047,-0.000175,0.00035
0.0003,4.1e-06,0.0039,-5e-05,0.0001
0.00019,4.1e-06,0.0034,-0.00025,0.0005
7e-05,4.1e-06,0.0027,-0.0001,0.0002
0.00044,4.1e-06,0.0034,-0.00025,0.0005
0.0002,4.1e-06,0.0039,-0.000115,0.00023
0.00034,4.1e-06,0.0039,-0.000115,0.00023
0.00035,4.1e-06,0.0034,-0.00025,0.0005
0.00041,4.1e-06,0.0039,-5e-05,0.0001
0.00027,4.1e-06,0.0047,-0.000175,0.00035
0.00045,4.1e-06,0.0027,-0.0001,0.0002
0.00045,4.1e-06,0.0047,-0.000175,0.00035
0.0004,4.1e-06,0.0034,-0.00025,0.0005
0.00012,4.1e-06,0.0027,6.6666666667e-05,0.0002
8e-05,4.1e-06,0.0027,6.6666666667e-05,0.0002
0.00025,4.1e-06,0.0027,6.6666666667e-05,0.0002
0.0004,4.1e-06,0.0039,-5e-05,0.0001
0.00012,4.1e-06,0.0027,-0.0001,0.0002
0.00026,4.1e-06,0.0027,6.6666666667e-05,0.0002
0.0004,4.1e-06,0.0039,-0.000115,0.00023
0.0001,4.1e-06,0.0027,-0.0001,0.0002
0.00038,4.1e-06,0.0027,6.6666666667e-05,0.0002
0.00032,4.1e-06,0.0039,-5e-05,0.0001
0.00027,4.1e-06,0.0039,-5e-05,0.0001
0.00013,4.1e-06,0.0027,6.6666666667e-05,0.0002
0.00026,4.1e-06,0.0027,-0.0001,0.0002
9e-05,4.1e-06,0.0027,6.6666666667e-05,0.0002
0.00037,4.1e-06,0.0027,-0.0001,0.0002
0.00017,4.1e-06,0.0027,-0.0001,0.0002
0.00011,4.1e-06,0.0039,-5e-05,0.0001
0.00023,4.1e-06,0.0027,6.6666666667e-05,0.0002
0.00041,4.1e-06,0.0027,-0.0001,0.0002
7e-05,4.1e-06,0.0027,6.6666666667e-05,0.0002
0.0001,4.1e-06,0.0047,-0.000175,0.00035
0.0002,4.1e-06,0.0027,6.6666666667e-05,0.0002
0.00026,4.1e-06,0.0039,-0.000115,0.00023
0.00034,4.1e-06,0.0039,-5e-05,0.0001
0.00019,4.1e-06,0.0047,-0.000175,0.00035
0.00032,4.1e-06,0.0027,6.6666666667e-05,0.0002
0.00031,4.1e-06,0.0039,-0.000115,0.00023
0.00044,4.1e-06,0.0027,-0.0001,0.0002
0.00014,4.1e-06,0.0039,-5e-05,0.0001
0.00024,4.1e-06,0.0027,-0.0001,0.0002
0.00031,4.1e-06,0.0039,-5e-05,0.0001
0.00014,4.1e-06,0.0027,-0.0001,0.0002
0.00016,4.1e-06,0.0039,-0.000115,0.00023
0.00022,4.1e-06,0.0027,6.6666666667e-05,0.0002
0.00043,4.1e-06,0.0039,-0.000115,0.00023
0.00024,4.1e-06,0.0047,-0.000175,0.00035
0.00034,4.1e-06,0.0027,-0.0001,0.0002
0.00029,4.1e-06,0.0039,-5e-05,0.0001
0.00021,4.1e-06,0.0039,-0.000115,0.00023
0.00011,4.1e-06,0.0034,-0.00025,0.0005
0.00023,4.1e-06,0.0039,-0.000115,0.00023
0.0001,4.1e-06,0.0039,-0.000115,0.00023
0.0001,4.1e-06,0.0034,-0.00025,0.0005
0.00026,4.1e-06,0.0039,-5e-05,0.0001
0.00039,4.1e-06,0.0034,-0.00025,0.0005
0.00018,4.1e-06,0.0034,-0.00025,0.0005
0.00026,4.1e-06,0.0047,-0.000175,0.00035
0.00039,4.1e-06,0.0039,-5e-05,0.0001
0.00028,4.1e-06,0.0027,-0.0001,0.0002
0.00019,4.1e-06,0.0039,-0.000115,0.00023
0.00038,4.1e-06,0.0047,-0.000175,0.00035
0.00033,4.1e-06,0.0027,-0.0001,0.0002
0.00028,4.1e-06,0.0039,-5e-05,0.0001
0.00011,4.1e-06,0.0039,-0.000115,0.00023
0.00015,4.1e-06,0.0027,6.6666666667e-05,0.0002
0.00021,4.1e-06,0.0047,-0.000175,0.00035
0.00016,4.1e-06,0.0047,-0.000175,0.00035
0.00036,4.1e-06,0.0027,-0.0001,0.0002
0.00033,4.1e-06,0.0039,-5e-05,0.0001
0.00027,4.1e-06,0.0027,6.6666666667e-05,0.0002
0.00045,4.1e-06,0.0039,-5e-05,0.0001
0.00034,4.1e-06,0.0034,-0.00025,0.0005
0.00023,4.1e-06,0.0034,-0.00025,0.0005
0.0004,4.1e-06,0.0027,-0.0001,0.0002
0.00037,4.1e-06,0.0034,-0.00025,0.0005
0.00031,4.1e-06,0.0047,-0.000175,0.00035
0.0002,4.1e-06,0.0027,-0.0001,0.0002
0.00015,4.1e-06,0.0039,-5e-05,0.0001
0.00022,4.1e-06,0.0034,-0.00025,0.0005
0.00029,4.1e-06,0.0027,-0.0001,0.0002
8e-05,4.1e-06,0.0039,-5e-05,0.0001
0.00018,4.1e-06,0.0027,-0.0001,0.0002
0.0003,4.1e-06,0.0034,-0.00025,0.0005
0.00032,4.1e-06,0.0039,-0.000115,0.00023
0.0003,4.1e-06,0.0047,-0.000175,0.00035
0.00025,4.1e-06,0.0034,-0.00025,0.0005
8e-05,4.1e-06,0.0034,-0.00025,0.0005
0.00042,4.1e-06,0.0039,-5e-05,0.0001
0.00037,4.1e-06,0.0047,-0.000175,0.00035
0.00044,4.1e-06,0.0047,-0.000175,0.00035
0.00019,4.1e-06,0.0027,-0.0001,0.0002
0.00026,4.1e-06,0.0034,-0.00025,0.0005
0.00033,4.1e-06,0.0027,6.6666666667e-05,0.0002
0.00033,4.1e-06,0.0047,-0.000175,0.00035
0.0001,4.1e-06,0.0039,-5e-05,0.0001
0.00011,4.1e-06,0.0039,-5e-05,0.0001
0.00012,4.1e-06,0.0039,-5e-05,0.0001
0.00013,4.1e-06,0.0039,-5e-05,0.0001
0.00014,4.1e-06,0.0039,-5e-05,0.0001
0.00015,4.1e-06,0.0039,-5e-05,0.0001
0.00016,4.1e-06,0.0039,-5e-05,0.0001
0.00017,4.1e-06,0.0039,-5e-05,0.0001
0.00018,4.1e-06,0.0039,-5e-05,0.0001
0.00019,4.1e-06,0.0039,-5e-05,0.0001
0.0002,4.1e-06,0.0039,-5e-05,0.0001
0.00021,4.1e-06,0.0039,-5e-05,0.0001
0.00022,4.1e-06,0.0039,-5e-05,0.0001
0.00023,4.1e-06,0.0039,-5e-05,0.0001
0.00025,4.1e-06,0.0039,-5e-05,0.0001
0.00026,4.1e-06,0.0039,-5e-05,0.0001
0.00027,4.1e-06,0.0039,-5e-05,0.0001
0.00028,4.1e-06,0.0039,-5e-05,0.0001
0.00029,4.1e-06,0.0039,-5e-05,0.0001
0.0003,4.1e-06,0.0039,-5e-05,0.0001
0.00031,4.1e-06,0.0039,-5e-05,0.0001
0.00032,4.1e-06,0.0039,-5e-05,0.0001
0.00033,4.1e-06,0.0039,-5e-05,0.0001
0.00034,4.1e-06,0.0039,-5e-05,0.0001
0.00035,4.1e-06,0.0039,-5e-05,0.0001
0.00036,4.1e-06,0.0039,-5e-05,0.0001
0.00037,4.1e-06,0.0039,-5e-05,0.0001
0.00038,4.1e-06,0.0039,-5e-05,0.0001
0.00039,4.1e-06,0.0039,-5e-05,0.0001
0.0004,4.1e-06,0.0039,-5e-05,0.0001
0.00041,4.1e-06,0.0039,-5e-05,0.0001
0.00042,4.1e-06,0.0039,-5e-05,0.0001
0.00043,4.1e-06,0.0039,-5e-05,0.0001
0.00044,4.1e-06,0.0039,-5e-05,0.0001
0.00045,4.1e-06,0.0039,-5e-05,0.0001
7e-05,4.1e-06,0.0039,-5e-05,0.0001
8e-05,4.1e-06,0.0039,-5e-05,0.0001
9e-05,4.1e-06,0.0039,-5e-05,0.0001
0.0001,4.1e-06,0.0046,6.6666666667e-05,0.0002
0.00011,4.1e-06,0.0046,6.6666666667e-05,0.0002
0.00012,4.1e-06,0.0046,6.6666666667e-05,0.0002
0.00014,4.1e-06,0.0046,6.6666666667e-05,0.0002
0.00015,4.1e-06,0.0046,6.6666666667e-05,0.0002
0.00016,4.1e-06,0.0046,6.6666666667e-05,0.0002
0.00017,4.1e-06,0.0046,6.6666666667e-05,0.0002
0.00018,4.1e-06,0.0046,6.6666666667e-05,0.0002
0.00019,4.1e-06,0.0046,6.6666666667e-05,0.0002
0.0002,4.1e-06,0.0046,6.6666666667e-05,0.0002
0.00022,4.1e-06,0.0046,6.6666666667e-05,0.0002
0.00023,4.1e-06,0.0046,6.6666666667e-05,0.0002
0.00024,4.1e-06,0.0046,6.6666666667e-05,0.0002
0.00025,4.1e-06,0.0046,6.6666666667e-05,0.0002
0.00026,4.1e-06,0.0046,6.6666666667e-05,0.0002
0.00027,4.1e-06,0.0046,6.6666666667e-05,0.0002
0.00028,4.1e-06,0.0046,6.6666666667e-05,0.0002
0.00029,4.1e-06,0.0046,6.6666666667e-05,0.0002
0.0003,4.1e-06,0.0046,6.6666666667e-05,0.0002
0.00032,4.1e-06,0.0046,6.6666666667e-05,0.0002
0.00033,4.1e-06,0.0046,6.6666666667e-05,0.0002
0.00034,4.1e-06,0.0046,6.6666666667e-05,0.0002
0.00035,4.1e-06,0.0046,6.6666666667e-05,0.0002
0.00036,4.1e-06,0.0046,6.6666666667e-05,0.0002
0.00037,4.1e-06,0.0046,6.6666666667e-05,0.0002
0.00038,4.1e-06,0.0046,6.6666666667e-05,0.0002
0.0004,4.1e-06,0.0046,6.6666666667e-05,0.0002
0.00041,4.1e-06,0.0046,6.6666666667e-05,0.0002
0.00042,4.1e-06,0.0046,6.6666666667e-05,0.0002
0.00044,4.1e-06,0.0046,6.6666666667e-05,0.0002
0.00045,4.1e-06,0.0046,6.6666666667e-05,0.0002
7e-05,4.1e-06,0.0046,6.6666666667e-05,0.0002
8e-05,4.1e-06,0.0046,6.6666666667e-05,0.0002
9e-05,4.1e-06,0.0046,6.6666666667e-05,0.0002
0.0001,4.1e-06,0.0027,0.000116666666667,0.00035
0.00011,4.1e-06,0.0027,0.000116666666667,0.00035
0.00013,4.1e-06,0.0027,0.000116666666667,0.00035
0.00014,4.1e-06,0.0027,0.000116666666667,0.00035
0.00015,4.1e-06,0.0027,0.000116666666667,0.00035
0.00016,4.1e-06,0.0027,0.000116666666667,0.00035
0.00017,4.1e-06,0.0027,0.000116666666667,0.00035
0.00018,4.1e-06,0.0027,0.000116666666667,0.00035
0.00019,4.1e-06,0.0027,0.000116666666667,0.00035
0.0002,4.1e-06,0.0027,0.000116666666667,0.00035
0.00021,4.1e-06,0.0027,0.000116666666667,0.00035
0.00022,4.1e-06,0.0027,0.000116666666667,0.00035
0.00023,4.1e-06,0.0027,0.000116666666667,0.00035
0.00024,4.1e-06,0.0027,0.000116666666667,0.00035
0.00025,4.1e-06,0.0027,0.000116666666667,0.00035
0.00026,4.1e-06,0.0027,0.000116666666667,0.00035
0.00027,4.1e-06,0.0027,0.000116666666667,0.00035
0.00028,4.1e-06,0.0027,0.000116666666667,0.00035
0.00029,4.1e-06,0.0027,0.000116666666667,0.00035
0.0003,4.1e-06,0.0027,0.000116666666667,0.00035
0.00031,4.1e-06,0.0027,0.000116666666667,0.00035
0.00032,4.1e-06,0.0027,0.000116666666667,0.00035
0.00033,4.1e-06,0.0027,0.000116666666667,0.00035
0.00034,4.1e-06,0.0027,0.000116666666667,0.00035
0.00035,4.1e-06,0.0027,0.000116666666667,0.00035
0.00036,4.1e-06,0.0027,0.000116666666667,0.00035
0.00037,4.1e-06,0.0027,0.000116666666667,0.00035
0.00038,4.1e-06,0.0027,0.000116666666667,0.00035
0.00039,4.1e-06,0.0027,0.000116666666667,0.00035
0.0004,4.1e-06,0.0027,0.000116666666667,0.00035
0.00041,4.1e-06,0.0027,0.000116666666667,0.00035
0.00042,4.1e-06,0.0027,0.000116666666667,0.00035
0.00043,4.1e-06,0.0027,0.000116666666667,0.00035
0.00044,4.1e-06,0.0027,0.000116666666667,0.00035
0.00045,4.1e-06,0.0027,0.000116666666667,0.00035
7e-05,4.1e-06,0.0027,0.000116666666667,0.00035
8e-05,4.1e-06,0.0027,0.000116666666667,0.00035
9e-05,4.1e-06,0.0027,0.000116666666667,0.00035
0.0001,4.1e-06,0.0027,0.0,0.0001
0.00011,4.1e-06,0.0027,0.0,0.0001
0.00012,4.1e-06,0.0027,0.0,0.0001
0.00013,4.1e-06,0.0027,0.0,0.0001
0.00014,4.1e-06,0.0027,0.0,0.0001
0.00015,4.1e-06,0.0027,0.0,0.0001
0.00016,4.1e-06,0.0027,0.0,0.0001
0.00017,4.1e-06,0.0027,0.0,0.0001
0.00018,4.1e-06,0.0027,0.0,0.0001
0.00019,4.1e-06,0.0027,0.0,0.0001
0.0002,4.1e-06,0.0027,0.0,0.0001
0.00021,4.1e-06,0.0027,0.0,0.0001
0.00022,4.1e-06,0.0027,0.0,0.0001
0.00023,4.1e-06,0.0027,0.0,0.0001
0.00024,4.1e-06,0.0027,0.0,0.0001
0.00025,4.1e-06,0.0027,0.0,0.0001
0.00026,4.1e-06,0.0027,0.0,0.0001
0.00027,4.1e-06,0.0027,0.0,0.0001
0.00028,4.1e-06,0.0027,0.0,0.0001
0.00029,4.1e-06,0.0027,0.0,0.0001
0.0003,4.1e-06,0.0027,0.0,0.0001
0.00031,4.1e-06,0.0027,0.0,0.0001
0.00032,4.1e-06,0.0027,0.0,0.0001
0.00033,4.1e-06,0.0027,0.0,0.0001
0.00037,4.1e-06,0.0027,0.0,0.0001
0.00038,4.1e-06,0.0027,0.0,0.0001
0.00039,4.1e-06,0.0027,0.0,0.0001
0.0004,4.1e-06,0.0027,0.0,0.0001
0.00041,4.1e-06,0.0027,0.0,0.0001
0.00042,4.1e-06,0.0027,0.0,0.0001
0.00043,4.1e-06,0.0027,0.0,0.0001
0.00044,4.1e-06,0.0027,0.0,0.0001
0.00045,4.1e-06,0.0027,0.0,0.0001
7e-05,4.1e-06,0.0027,0.0,0.0001
8e-05,4.1e-06,0.0027,0.0,0.0001
9e-05,4.1e-06,0.0027,0.0,0.0001
0.0001025,4.1e-06,0.0039,7.6666666667e-05,0.00023
0.0001125,4.1e-06,0.0039,7.6666666667e-05,0.00023
0.0001225,4.1e-06,0.0039,7.6666666667e-05,0.00023
0.0001325,4.1e-06,0.0039,7.6666666667e-05,0.00023
0.0001425,4.1e-06,0.0039,7.6666666667e-05,0.00023
0.0001525,4.1e-06,0.0039,7.6666666667e-05,0.00023
0.0001625,4.1e-06,0.0039,7.6666666667e-05,0.00023
0.0001725,4.1e-06,0.0039,7.6666666667e-05,0.00023
0.0001825,4.1e-06,0.0039,7.6666666667e-05,0.00023
0.0001925,4.1e-06,0.0039,7.6666666667e-05,0.00023
0.0002025,4.1e-06,0.0039,7.6666666667e-05,0.00023
0.0002125,4.1e-06,0.0039,7.6666666667e-05,0.00023
0.0002225,4.1e-06,0.0039,7.6666666667e-05,0.00023
0.0002325,4.1e-06,0.0039,7.6666666667e-05,0.00023
0.0002425,4.1e-06,0.0039,7.6666666667e-05,0.00023
0.0002525,4.1e-06,0.0039,7.6666666667e-05,0.00023
0.0002725,4.1e-06,0.0039,7.6666666667e-05,0.00023
0.0002825,4.1e-06,0.0039,7.6666666667e-05,0.00023
0.0002925,4.1e-06,0.0039,7.6666666667e-05,0.00023
0.0003125,4.1e-06,0.0039,7.6666666667e-05,0.00023
0.0003225,4.1e-06,0.0039,7.6666666667e-05,0.00023
0.0003325,4.1e-06,0.0039,7.6666666667e-05,0.00023
0.0003425,4.1e-06,0.0039,7.6666666667e-05,0.00023
0.0003525,4.1e-06,0.0039,7.6666666667e-05,0.00023
0.0003625,4.1e-06,0.0039,7.6666666667e-05,0.00023
0.0003725,4.1e-06,0.0039,7.6666666667e-05,0.00023
0.0003825,4.1e-06,0.0039,7.6666666667e-05,0.00023
0.0003925,4.1e-06,0.0039,7.6666666667e-05,0.00023
0.0004025,4.1e-06,0.0039,7.6666666667e-05,0.00023
0.0004125,4.1e-06,0.0039,7.6666666667e-05,0.00023
0.0004225,4.1e-06,0.0039,7.6666666667e-05,0.00023
0.0004325,4.1e-06,0.0039,7.6666666667e-05,0.00023
0.0004425,4.1e-06,0.0039,7.6666666667e-05,0.00023
0.0004525,4.1e-06,0.0039,7.6666666667e-05,0.00023
7.25e-05,4.1e-06,0.0039,7.6666666667e-05,0.00023
8.25e-05,4.1e-06,0.0039,7.6666666667e-05,0.00023
9.25e-05,4.1e-06,0.0039,7.6666666667e-05,0.00023
0.000115,4.1e-06,0.0039,7.6666666667e-05,0.00023
0.000125,4.1e-06,0.0039,7.6666666667e-05,0.00023
0.000135,4.1e-06,0.0039,7.6666666667e-05,0.00023
0.000145,4.1e-06,0.0039,7.6666666667e-05,0.00023
0.000155,4.1e-06,0.0039,7.6666666667e-05,0.00023
0.000165,4.1e-06,0.0039,7.6666666667e-05,0.00023
0.000175,4.1e-06,0.0039,7.6666666667e-05,0.00023
0.000185,4.1e-06,0.0039,7.6666666667e-05,0.00023
0.000195,4.1e-06,0.0039,7.6666666667e-05,0.00023
0.000205,4.1e-06,0.0039,7.6666666667e-05,0.00023
0.000225,4.1e-06,0.0039,7.6666666667e-05,0.00023
