design_options.claw_opts.connection_pads.readout.claw_length,design_options.claw_opts.connection_pads.readout.ground_spacing,design_options.cpw_opts.total_length,design_options.cpw_opts.meander.asymmetry,design_options.cplr_opts.coupling_length
0.000235,4.1e-06,0.0039,7.6666666667e-05,0.00023
0.000245,4.1e-06,0.0039,7.6666666667e-05,0.00023
0.000255,4.1e-06,0.0039,7.6666666667e-05,0.00023
0.000265,4.1e-06,0.0039,7.6666666667e-05,0.00023
0.000275,4.1e-06,0.0039,7.6666666667e-05,0.00023
0.000285,4.1e-06,0.0039,7.6666666667e-05,0.00023
0.000295,4.1e-06,0.0039,7.6666666667e-05,0.00023
0.000305,4.1e-06,0.0039,7.6666666667e-05,0.00023
0.000315,4.1e-06,0.0039,7.6666666667e-05,0.00023
0.000325,4.1e-06,0.0039,7.6666666667e-05,0.00023
0.000335,4.1e-06,0.0039,7.6666666667e-05,0.00023
0.0003375,4.1e-06,0.0039,7.6666666667e-05,0.00023
0.000345,4.1e-06,0.0039,7.6666666667e-05,0.00023
0.0003475,4.1e-06,0.0039,7.6666666667e-05,0.00023
0.000355,4.1e-06,0.0039,7.6666666667e-05,0.00023
0.0003575,4.1e-06,0.0039,7.6666666667e-05,0.00023
0.000365,4.1e-06,0.0039,7.6666666667e-05,0.00023
0.0003675,4.1e-06,0.0039,7.6666666667e-05,0.00023
0.000375,4.1e-06,0.0039,7.6666666667e-05,0.00023
0.0003775,4.1e-06,0.0039,7.6666666667e-05,0.00023
0.000385,4.1e-06,0.0039,7.6666666667e-05,0.00023
0.0003875,4.1e-06,0.0039,7.6666666667e-05,0.00023
0.000395,4.1e-06,0.0039,7.6666666667e-05,0.00023
0.0003975,4.1e-06,0.0039,7.6666666667e-05,0.00023
0.000405,4.1e-06,0.0039,7.6666666667e-05,0.00023
0.0004075,4.1e-06,0.0039,7.6666666667e-05,0.00023
0.000415,4.1e-06,0.0039,7.6666666667e-05,0.00023
0.0004175,4.1e-06,0.0039,7.6666666667e-05,0.00023
0.000425,4.1e-06,0.0039,7.6666666667e-05,0.00023
0.0004275,4.1e-06,0.0039,7.6666666667e-05,0.00023
0.000435,4.1e-06,0.0039,7.6666666667e-05,0.00023
0.000445,4.1e-06,0.0039,7.6666666667e-05,0.00023
0.000455,4.1e-06,0.0039,7.6666666667e-05,0.00023
7.5e-05,4.1e-06,0.0039,7.6666666667e-05,0.00023
8.5e-05,4.1e-06,0.0039,7.6666666667e-05,0.00023
9.5e-05,4.1e-06,0.0039,7.6666666667e-05,0.00023
0.0001075,4.1e-06,0.0039,7.6666666667e-05,0.00023
0.0001275,4.1e-06,0.0039,7.6666666667e-05,0.00023
0.0001775,4.1e-06,0.0039,7.6666666667e-05,0.00023
0.0002075,4.1e-06,0.0039,7.6666666667e-05,0.00023
0.0002275,4.1e-06,0.0039,7.6666666667e-05,0.00023
0.0002275,4.1e-06,0.0039,7.6666666667e-05,0.00023
0.0002375,4.1e-06,0.0039,7.6666666667e-05,0.00023
0.0002475,4.1e-06,0.0039,7.6666666667e-05,0.00023
0.0002575,4.1e-06,0.0039,7.6666666667e-05,0.00023
0.0002675,4.1e-06,0.0039,7.6666666667e-05,0.00023
0.0002775,4.1e-06,0.0039,7.6666666667e-05,0.00023
0.0002775,4.1e-06,0.0039,7.6666666667e-05,0.00023
0.0002975,4.1e-06,0.0039,7.6666666667e-05,0.00023
0.0003175,4.1e-06,0.0039,7.6666666667e-05,0.00023
0.0003275,4.1e-06,0.0039,7.6666666667e-05,0.00023
0.0003275,4.1e-06,0.0039,7.6666666667e-05,0.00023
0.0003375,4.1e-06,0.0039,7.6666666667e-05,0.00023
0.0003475,4.1e-06,0.0039,7.6666666667e-05,0.00023
0.0003575,4.1e-06,0.0039,7.6666666667e-05,0.00023
0.0003675,4.1e-06,0.0039,7.6666666667e-05,0.00023
0.0003775,4.1e-06,0.0039,7.6666666667e-05,0.00023
0.0003775,4.1e-06,0.0039,7.6666666667e-05,0.00023
0.0003875,4.1e-06,0.0039,7.6666666667e-05,0.00023
0.0003975,4.1e-06,0.0039,7.6666666667e-05,0.00023
0.0004075,4.1e-06,0.0039,7.6666666667e-05,0.00023
0.0004175,4.1e-06,0.0039,7.6666666667e-05,0.00023
0.0004275,4.1e-06,0.0039,7.6666666667e-05,0.00023
0.0004275,4.1e-06,0.0039,7.6666666667e-05,0.00023
0.0004375,4.1e-06,0.0039,7.6666666667e-05,0.00023
0.0004475,4.1e-06,0.0039,7.6666666667e-05,0.00023
0.0004575,4.1e-06,0.0039,7.6666666667e-05,0.00023
0.0004775,4.1e-06,0.0039,7.6666666667e-05,0.00023
0.0005275,4.1e-06,0.0039,7.6666666667e-05,0.00023
0.0005775,4.1e-06,0.0039,7.6666666667e-05,0.00023
7.75e-05,4.1e-06,0.0039,7.6666666667e-05,0.00023
7.75e-05,4.1e-06,0.0039,7.6666666667e-05,0.00023
8.75e-05,4.1e-06,0.0039,7.6666666667e-05,0.00023
9.75e-05,4.1e-06,0.0039,7.6666666667e-05,0.00023
0.0001025,4.1e-06,0.0047,0.000116666666667,0.00035
0.0001125,4.1e-06,0.0047,0.000116666666667,0.00035
0.0001225,4.1e-06,0.0047,0.000116666666667,0.00035
0.0001325,4.1e-06,0.0047,0.000116666666667,0.00035
0.0001425,4.1e-06,0.0047,0.000116666666667,0.00035
0.0001525,4.1e-06,0.0047,0.000116666666667,0.00035
0.0001625,4.1e-06,0.0047,0.000116666666667,0.00035
0.0001725,4.1e-06,0.0047,0.000116666666667,0.00035
0.0001825,4.1e-06,0.0047,0.000116666666667,0.00035
0.0001925,4.1e-06,0.0047,0.000116666666667,0.00035
0.0002025,4.1e-06,0.0047,0.000116666666667,0.00035
0.0002125,4.1e-06,0.0047,0.000116666666667,0.00035
0.0002225,4.1e-06,0.0047,0.000116666666667,0.00035
0.0002325,4.1e-06,0.0047,0.000116666666667,0.00035
0.0002425,4.1e-06,0.0047,0.000116666666667,0.00035
0.0002525,4.1e-06,0.0047,0.000116666666667,0.00035
0.0002625,4.1e-06,0.0047,0.000116666666667,0.00035
0.0002725,4.1e-06,0.0047,0.000116666666667,0.00035
0.0002825,4.1e-06,0.0047,0.000116666666667,0.00035
0.0002925,4.1e-06,0.0047,0.000116666666667,0.00035
0.0003025,4.1e-06,0.0047,0.000116666666667,0.00035
0.0003325,4.1e-06,0.0047,0.000116666666667,0.00035
0.0003425,4.1e-06,0.0047,0.000116666666667,0.00035
0.0003525,4.1e-06,0.0047,0.000116666666667,0.00035
0.0003625,4.1e-06,0.0047,0.000116666666667,0.00035
0.0003725,4.1e-06,0.0047,0.000116666666667,0.00035
0.0003825,4.1e-06,0.0047,0.000116666666667,0.00035
0.0003925,4.1e-06,0.0047,0.000116666666667,0.00035
0.0004025,4.1e-06,0.0047,0.000116666666667,0.00035
0.0004125,4.1e-06,0.0047,0.000116666666667,0.00035
0.0004225,4.1e-06,0.0047,0.000116666666667,0.00035
0.0004325,4.1e-06,0.0047,0.000116666666667,0.00035
0.0004425,4.1e-06,0.0047,0.000116666666667,0.00035
0.0004525,4.1e-06,0.0047,0.000116666666667,0.00035
7.25e-05,4.1e-06,0.0047,0.000116666666667,0.00035
8.25e-05,4.1e-06,0.0047,0.000116666666667,0.00035
9.25e-05,4.1e-06,0.0047,0.000116666666667,0.00035
0.000105,4.1e-06,0.0047,0.000116666666667,0.00035
0.000115,4.1e-06,0.0047,0.000116666666667,0.00035
0.000125,4.1e-06,0.0047,0.000116666666667,0.00035
0.000135,4.1e-06,0.0047,0.000116666666667,0.00035
0.000145,4.1e-06,0.0047,0.000116666666667,0.00035
0.000155,4.1e-06,0.0047,0.000116666666667,0.00035
0.000165,4.1e-06,0.0047,0.000116666666667,0.00035
0.000175,4.1e-06,0.0047,0.000116666666667,0.00035
0.000185,4.1e-06,0.0047,0.000116666666667,0.00035
0.000195,4.1e-06,0.0047,0.000116666666667,0.00035
0.000205,4.1e-06,0.0047,0.000116666666667,0.00035
0.000215,4.1e-06,0.0047,0.000116666666667,0.00035
0.000225,4.1e-06,0.0047,0.000116666666667,0.00035
0.000235,4.1e-06,0.0047,0.000116666666667,0.00035
0.000245,4.1e-06,0.0047,0.000116666666667,0.00035
0.000255,4.1e-06,0.0047,0.000116666666667,0.00035
0.000265,4.1e-06,0.0047,0.000116666666667,0.00035
0.000275,4.1e-06,0.0047,0.000116666666667,0.00035
0.000285,4.1e-06,0.0047,0.000116666666667,0.00035
0.000295,4.1e-06,0.0047,0.000116666666667,0.00035
0.000305,4.1e-06,0.0047,0.000116666666667,0.00035
0.000315,4.1e-06,0.0047,0.000116666666667,0.00035
0.000325,4.1e-06,0.0047,0.000116666666667,0.00035
0.000335,4.1e-06,0.0047,0.000116666666667,0.00035
0.000345,4.1e-06,0.0047,0.000116666666667,0.00035
0.000355,4.1e-06,0.0047,0.000116666666667,0.00035
0.000365,4.1e-06,0.0047,0.000116666666667,0.00035
0.000375,4.1e-06,0.0047,0.000116666666667,0.00035
0.000385,4.1e-06,0.0047,0.000116666666667,0.00035
0.000395,4.1e-06,0.0047,0.000116666666667,0.00035
0.000405,4.1e-06,0.0047,0.000116666666667,0.00035
0.000415,4.1e-06,0.0047,0.000116666666667,0.00035
0.000425,4.1e-06,0.0047,0.000116666666667,0.00035
0.000435,4.1e-06,0.0047,0.000116666666667,0.00035
0.000445,4.1e-06,0.0047,0.000116666666667,0.00035
0.000455,4.1e-06,0.0047,0.000116666666667,0.00035
7.5e-05,4.1e-06,0.0047,0.000116666666667,0.00035
8.5e-05,4.1e-06,0.0047,0.000116666666667,0.00035
9.5e-05,4.1e-06,0.0047,0.000116666666667,0.00035
0.000105,4.1e-06,0.0047,0.000116666666667,0.00035
0.000115,4.1e-06,0.0047,0.000116666666667,0.00035
0.000125,4.1e-06,0.0047,0.000116666666667,0.00035
0.000135,4.1e-06,0.0047,0.000116666666667,0.00035
0.000145,4.1e-06,0.0047,0.000116666666667,0.00035
0.000155,4.1e-06,0.0047,0.000116666666667,0.00035
0.000165,4.1e-06,0.0047,0.000116666666667,0.00035
0.000175,4.1e-06,0.0047,0.000116666666667,0.00035
0.000185,4.1e-06,0.0047,0.000116666666667,0.00035
0.000195,4.1e-06,0.0047,0.000116666666667,0.00035
0.000205,4.1e-06,0.0047,0.000116666666667,0.00035
0.000215,4.1e-06,0.0047,0.000116666666667,0.00035
0.000225,4.1e-06,0.0047,0.000116666666667,0.00035
0.000235,4.1e-06,0.0047,0.000116666666667,0.00035
0.000245,4.1e-06,0.0047,0.000116666666667,0.00035
0.000255,4.1e-06,0.0047,0.000116666666667,0.00035
0.000265,4.1e-06,0.0047,0.000116666666667,0.00035
0.000275,4.1e-06,0.0047,0.000116666666667,0.00035
0.000285,4.1e-06,0.0047,0.000116666666667,0.00035
0.000295,4.1e-06,0.0047,0.000116666666667,0.00035
0.000305,4.1e-06,0.0047,0.000116666666667,0.00035
0.000315,4.1e-06,0.0047,0.000116666666667,0.00035
0.000325,4.1e-06,0.0047,0.000116666666667,0.00035
0.000335,4.1e-06,0.0047,0.000116666666667,0.00035
0.000345,4.1e-06,0.0047,0.000116666666667,0.00035
0.000355,4.1e-06,0.0047,0.000116666666667,0.00035
0.000365,4.1e-06,0.0047,0.000116666666667,0.00035
0.000375,4.1e-06,0.0047,0.000116666666667,0.00035
0.000385,4.1e-06,0.0047,0.000116666666667,0.00035
0.000395,4.1e-06,0.0047,0.000116666666667,0.00035
0.000405,4.1e-06,0.0047,0.000116666666667,0.00035
0.000415,4.1e-06,0.0047,0.000116666666667,0.00035
0.000425,4.1e-06,0.0047,0.000116666666667,0.00035
0.000435,4.1e-06,0.0047,0.000116666666667,0.00035
0.000445,4.1e-06,0.0047,0.000116666666667,0.00035
0.000455,4.1e-06,0.0047,0.000116666666667,0.00035
7.5e-05,4.1e-06,0.0047,0.000116666666667,0.00035
8.5e-05,4.1e-06,0.0047,0.000116666666667,0.00035
9.5e-05,4.1e-06,0.0047,0.000116666666667,0.00035
0.0001075,4.1e-06,0.0047,0.000116666666667,0.00035
0.0001275,4.1e-06,0.0047,0.000116666666667,0.00035
0.0001375,4.1e-06,0.0047,0.000116666666667,0.00035
0.0001475,4.1e-06,0.0047,0.000116666666667,0.00035
0.0001575,4.1e-06,0.0047,0.000116666666667,0.00035
0.0001775,4.1e-06,0.0047,0.000116666666667,0.00035
0.0001875,4.1e-06,0.0047,0.000116666666667,0.00035
0.0001975,4.1e-06,0.0047,0.000116666666667,0.00035
0.0002075,4.1e-06,0.0047,0.000116666666667,0.00035
0.0002175,4.1e-06,0.0047,0.000116666666667,0.00035
0.0002275,4.1e-06,0.0047,0.000116666666667,0.00035
0.0002375,4.1e-06,0.0047,0.000116666666667,0.00035
0.0002475,4.1e-06,0.0047,0.000116666666667,0.00035
0.0002575,4.1e-06,0.0047,0.000116666666667,0.00035
0.0002675,4.1e-06,0.0047,0.000116666666667,0.00035
0.0002775,4.1e-06,0.0047,0.000116666666667,0.00035
0.0002875,4.1e-06,0.0047,0.000116666666667,0.00035
0.0002975,4.1e-06,0.0047,0.000116666666667,0.00035
0.0003075,4.1e-06,0.0047,0.000116666666667,0.00035
0.0003175,4.1e-06,0.0047,0.000116666666667,0.00035
0.0003275,4.1e-06,0.0047,0.000116666666667,0.00035
0.0003375,4.1e-06,0.0047,0.000116666666667,0.00035
0.0003475,4.1e-06,0.0047,0.000116666666667,0.00035
0.0003575,4.1e-06,0.0047,0.000116666666667,0.00035
0.0003675,4.1e-06,0.0047,0.000116666666667,0.00035
0.0003775,4.1e-06,0.0047,0.000116666666667,0.00035
0.0003875,4.1e-06,0.0047,0.000116666666667,0.00035
0.0003975,4.1e-06,0.0047,0.000116666666667,0.00035
0.0004075,4.1e-06,0.0047,0.000116666666667,0.00035
0.0004175,4.1e-06,0.0047,0.000116666666667,0.00035
0.0004275,4.1e-06,0.0047,0.000116666666667,0.00035
0.0004375,4.1e-06,0.0047,0.000116666666667,0.00035
0.0004475,4.1e-06,0.0047,0.000116666666667,0.00035
0.0004575,4.1e-06,0.0047,0.000116666666667,0.00035
7.75e-05,4.1e-06,0.0047,0.000116666666667,0.00035
8.75e-05,4.1e-06,0.0047,0.000116666666667,0.00035
9.75e-05,4.1e-06,0.0047,0.000116666666667,0.00035
0.0001075,4.1e-06,0.0047,0.000116666666667,0.00035
0.0001275,4.1e-06,0.0047,0.000116666666667,0.00035
0.0001375,4.1e-06,0.0047,0.000116666666667,0.00035
0.0001475,4.1e-06,0.0047,0.000116666666667,0.00035
0.0001575,4.1e-06,0.0047,0.000116666666667,0.00035
0.0001775,4.1e-06,0.0047,0.000116666666667,0.00035
0.0001875,4.1e-06,0.0047,0.000116666666667,0.00035
0.0001975,4.1e-06,0.0047,0.000116666666667,0.00035
0.0002075,4.1e-06,0.0047,0.000116666666667,0.00035
0.0002175,4.1e-06,0.0047,0.000116666666667,0.00035
0.0002275,4.1e-06,0.0047,0.000116666666667,0.00035
0.0002375,4.1e-06,0.0047,0.000116666666667,0.00035
0.0002475,4.1e-06,0.0047,0.000116666666667,0.00035
0.0002575,4.1e-06,0.0047,0.000116666666667,0.00035
0.0002675,4.1e-06,0.0047,0.000116666666667,0.00035
0.0002775,4.1e-06,0.0047,0.000116666666667,0.00035
0.0002875,4.1e-06,0.0047,0.000116666666667,0.00035
0.0002975,4.1e-06,0.0047,0.000116666666667,0.00035
0.0003075,4.1e-06,0.0047,0.000116666666667,0.00035
0.0003175,4.1e-06,0.0047,0.000116666666667,0.00035
0.0003275,4.1e-06,0.0047,0.000116666666667,0.00035
0.0003375,4.1e-06,0.0047,0.000116666666667,0.00035
0.0003475,4.1e-06,0.0047,0.000116666666667,0.00035
0.0003575,4.1e-06,0.0047,0.000116666666667,0.00035
0.0003675,4.1e-06,0.0047,0.000116666666667,0.00035
0.0003775,4.1e-06,0.0047,0.000116666666667,0.00035
0.0003875,4.1e-06,0.0047,0.000116666666667,0.00035
0.0003975,4.1e-06,0.0047,0.000116666666667,0.00035
0.0004075,4.1e-06,0.0047,0.000116666666667,0.00035
0.0004175,4.1e-06,0.0047,0.000116666666667,0.00035
0.0004275,4.1e-06,0.0047,0.000116666666667,0.00035
0.0004375,4.1e-06,0.0047,0.000116666666667,0.00035
0.0004475,4.1e-06,0.0047,0.000116666666667,0.00035
0.0004575,4.1e-06,0.0047,0.000116666666667,0.00035
7.75e-05,4.1e-06,0.0047,0.000116666666667,0.00035
8.75e-05,4.1e-06,0.0047,0.000116666666667,0.00035
9.75e-05,4.1e-06,0.0047,0.000116666666667,0.00035
0.00018,4.1e-06,0.003275,-0.000175,0.00035
0.00019,4.1e-06,0.003275,-0.000175,0.00035
0.0002,4.1e-06,0.003275,-0.000175,0.00035
0.00022,4.1e-06,0.003275,-0.000175,0.00035
0.00023,4.1e-06,0.003275,-0.000175,0.00035
0.00024,4.1e-06,0.003275,-0.000175,0.00035
0.00025,4.1e-06,0.003275,-0.000175,0.00035
0.00026,4.1e-06,0.003275,-0.000175,0.00035
0.00027,4.1e-06,0.003275,-0.000175,0.00035
0.00029,4.1e-06,0.003275,-0.000175,0.00035
0.0003,4.1e-06,0.003275,-0.000175,0.00035
0.00031,4.1e-06,0.003275,-0.000175,0.00035
0.00033,4.1e-06,0.003275,-0.000175,0.00035
0.00034,4.1e-06,0.003275,-0.000175,0.00035
0.00035,4.1e-06,0.003275,-0.000175,0.00035
0.00036,4.1e-06,0.003275,-0.000175,0.00035
0.00037,4.1e-06,0.003275,-0.000175,0.00035
0.00038,4.1e-06,0.003275,-0.000175,0.00035
0.00039,4.1e-06,0.003275,-0.000175,0.00035
0.0004,4.1e-06,0.003275,-0.000175,0.00035
0.00041,4.1e-06,0.003275,-0.000175,0.00035
0.00042,4.1e-06,0.003275,-0.000175,0.00035
0.00043,4.1e-06,0.003275,-0.000175,0.00035
0.00044,4.1e-06,0.003275,-0.000175,0.00035
0.00045,4.1e-06,0.003275,-0.000175,0.00035
0.00046,4.1e-06,0.003275,-0.000175,0.00035
0.00047,4.1e-06,0.003275,-0.000175,0.00035
0.00048,4.1e-06,0.003275,-0.000175,0.00035
0.00049,4.1e-06,0.003275,-0.000175,0.00035
0.0005,4.1e-06,0.003275,-0.000175,0.00035
0.00051,4.1e-06,0.003275,-0.000175,0.00035
0.00052,4.1e-06,0.003275,-0.000175,0.00035
0.00053,4.1e-06,0.003275,-0.000175,0.00035
0.00054,4.1e-06,0.003275,-0.000175,0.00035
0.00055,4.1e-06,0.003275,-0.000175,0.00035
0.00017,1e-05,0.0047,-0.0002,0.0004
0.00018,1e-05,0.0047,-0.0002,0.0004
0.00019,1e-05,0.0047,-0.0002,0.0004
0.0002,1e-05,0.0047,-0.0002,0.0004
0.00021,1e-05,0.0047,-0.0002,0.0004
0.00022,1e-05,0.0047,-0.0002,0.0004
0.00023,1e-05,0.0047,-0.0002,0.0004
0.00024,1e-05,0.0047,-0.0002,0.0004
0.00025,1e-05,0.0047,-0.0002,0.0004
0.00026,1e-05,0.0047,-0.0002,0.0004
0.00027,1e-05,0.0047,-0.0002,0.0004
0.00028,1e-05,0.0047,-0.0002,0.0004
0.00029,1e-05,0.0047,-0.0002,0.0004
0.0003,1e-05,0.0047,0.000133333333333,0.0004
0.00031,1e-05,0.0047,0.000133333333333,0.0004
0.00032,1e-05,0.0047,0.000133333333333,0.0004
0.00033,1e-05,0.0047,0.000133333333333,0.0004
0.00034,1e-05,0.0047,0.000133333333333,0.0004
0.00035,1e-05,0.0047,0.000133333333333,0.0004
0.00037,1e-05,0.0047,0.000133333333333,0.0004
0.00038,1e-05,0.0047,0.000133333333333,0.0004
0.00039,1e-05,0.0047,0.000133333333333,0.0004
0.0004,1e-05,0.0047,0.000133333333333,0.0004
0.00041,1e-05,0.0047,0.000133333333333,0.0004
0.00043,4.1e-06,0.0047,0.000133333333333,0.0004
0.00044,4.1e-06,0.0047,0.000133333333333,0.0004
0.00045,4.1e-06,0.0047,0.000133333333333,0.0004
0.00046,4.1e-06,0.0047,0.000133333333333,0.0004
0.00047,4.1e-06,0.0047,0.000133333333333,0.0004
0.00048,4.1e-06,0.0047,0.000133333333333,0.0004
0.00049,4.1e-06,0.0047,0.000133333333333,0.0004
0.0005,4.1e-06,0.0047,0.000133333333333,0.0004
0.00051,4.1e-06,0.0047,0.000133333333333,0.0004
0.00052,4.1e-06,0.0047,0.000133333333333,0.0004
0.00053,4.1e-06,0.0047,0.000133333333333,0.0004
0.00054,4.1e-06,0.0047,0.000133333333333,0.0004
0.00055,4.1e-06,0.0047,0.000133333333333,0.0004
0.00017,1e-05,0.00315,6.6666666667e-05,0.0002
0.00018,1e-05,0.00315,6.6666666667e-05,0.0002
0.00019,1e-05,0.00315,6.6666666667e-05,0.0002
0.0002,1e-05,0.00315,6.6666666667e-05,0.0002
0.00021,1e-05,0.00315,6.6666666667e-05,0.0002
0.00022,1e-05,0.00315,6.6666666667e-05,0.0002
0.00023,1e-05,0.00315,6.6666666667e-05,0.0002
0.00024,1e-05,0.00315,6.6666666667e-05,0.0002
0.00025,1e-05,0.00315,6.6666666667e-05,0.0002
0.00026,1e-05,0.00315,6.6666666667e-05,0.0002
0.00028,1e-05,0.00315,6.6666666667e-05,0.0002
0.00029,1e-05,0.00315,6.6666666667e-05,0.0002
0.0003,1e-05,0.00315,6.6666666667e-05,0.0002
0.00031,1e-05,0.00315,6.6666666667e-05,0.0002
0.00032,1e-05,0.00315,6.6666666667e-05,0.0002
0.00033,1e-05,0.00315,6.6666666667e-05,0.0002
0.00034,1e-05,0.00315,6.6666666667e-05,0.0002
0.00035,1e-05,0.00315,6.6666666667e-05,0.0002
0.00036,1e-05,0.00315,6.6666666667e-05,0.0002
0.00037,1e-05,0.00315,6.6666666667e-05,0.0002
0.00039,1e-05,0.00315,6.6666666667e-05,0.0002
0.0004,1e-05,0.00315,6.6666666667e-05,0.0002
0.00041,1e-05,0.00315,6.6666666667e-05,0.0002
0.00042,1e-05,0.00315,6.6666666667e-05,0.0002
0.00017,1e-05,0.003,0.0,0.0001
0.00018,1e-05,0.003,0.0,0.0001
0.00019,1e-05,0.003,0.0,0.0001
0.0002,1e-05,0.003,0.0,0.0001
0.00022,1e-05,0.003,0.0,0.0001
0.00023,1e-05,0.003,0.0,0.0001
0.00024,1e-05,0.003,0.0,0.0001
0.00025,1e-05,0.003,0.0,0.0001
0.00026,1e-05,0.003,0.0,0.0001
0.00027,1e-05,0.003,0.0,0.0001
0.00028,1e-05,0.003,0.0,0.0001
0.00029,1e-05,0.003,0.0,0.0001
0.0003,1e-05,0.003,0.0,0.0001
0.00031,1e-05,0.003,0.0,0.0001
0.00033,1e-05,0.003,0.0,0.0001
0.00034,1e-05,0.003,0.0,0.0001
0.00036,1e-05,0.003,0.0,0.0001
0.00037,1e-05,0.003,0.0,0.0001
0.00038,1e-05,0.003,0.0,0.0001
0.00039,1e-05,0.003,0.0,0.0001
0.0004,1e-05,0.003,0.0,0.0001
0.00041,1e-05,0.003,0.0,0.0001
0.00042,1e-05,0.003,0.0,0.0001
